##Databases: BioCyc, Gene Ontology, KEGG DISEASE, OMIM, NHGRI GWAS Catalog, PANTHER, Gene Ontology Slim, Reactome, KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Human cytomegalovirus infection	KEGG PATHWAY	hsa05163	35	225	8.36302574521e-41	5.39567215579e-38	CCL2|PTGS2|CCL4|CCL3|HLA-C|EGFR|BAX|MAPK14|AKT1|CCR5|IL1B|IFNB1|TBK1|PTGER4|FAS|CCL5|PTGER1|RB1|PTGER3|MAPK3|MAPK1|NFKB1|MYC|PRKCA|TNF|CYCS|RHOA|IRF3|TP53|E2F1|IFNA2|IFNA1|IL6|CDK4|IL8	http://www.genome.jp/kegg-bin/show_pathway?hsa05163/hsa:29110%09red/hsa:3569%09red/hsa:1234%09red/hsa:5595%09red/hsa:1019%09red/hsa:355%09red/hsa:5578%09red/hsa:5925%09red/hsa:3661%09red/hsa:7124%09red/hsa:5743%09red/hsa:3456%09red/hsa:6347%09red/hsa:1956%09red/hsa:3107%09red/hsa:387%09red/hsa:6348%09red/hsa:3553%09red/hsa:5594%09red/hsa:54205%09red/hsa:3576%09red/hsa:4790%09red/hsa:581%09red/hsa:207%09red/hsa:1869%09red/hsa:1432%09red/hsa:7157%09red/hsa:3440%09red/hsa:6351%09red/hsa:6352%09red/hsa:5733%09red/hsa:4609%09red/hsa:5731%09red/hsa:3439%09red/hsa:5734%09red
Cytokine-cytokine receptor interaction	KEGG PATHWAY	hsa04060	37	294	5.10676878045e-40	3.02022816957e-37	CCL2|TGFB1|CD40LG|CCL4|CCL3|CD4|CCR5|CCR6|CCR7|IL1A|IL1B|IFNB1|FAS|CCL5|IL28A|THPO|CXCR3|CCL26|IL17A|IFNG|IL7R|CD27|CD40|TNF|CXCL10|IL18|CSH2|CXCL9|IFNA2|IFNA1|IL13|IL6|IL10|IL4|IL5|IL2|IL8	http://www.genome.jp/kegg-bin/show_pathway?hsa04060/hsa:3569%09red/hsa:1236%09red/hsa:1234%09red/hsa:1235%09red/hsa:3627%09red/hsa:3565%09red/hsa:3567%09red/hsa:920%09red/hsa:355%09red/hsa:1443%09red/hsa:3605%09red/hsa:3440%09red/hsa:4283%09red/hsa:3596%09red/hsa:3458%09red/hsa:7124%09red/hsa:3456%09red/hsa:3606%09red/hsa:6347%09red/hsa:3439%09red/hsa:3553%09red/hsa:3552%09red/hsa:10344%09red/hsa:3558%09red/hsa:3576%09red/hsa:3575%09red/hsa:282616%09red/hsa:939%09red/hsa:2833%09red/hsa:3586%09red/hsa:7066%09red/hsa:959%09red/hsa:958%09red/hsa:6351%09red/hsa:6352%09red/hsa:7040%09red/hsa:6348%09red
Hepatitis C	KEGG PATHWAY	hsa05160	31	155	2.9887407038e-39	1.63162252114e-36	IKBKE|EGFR|BAX|MX1|AKT1|CXCL10|EGF|DDX58|STAT1|FAS|RB1|IFNB1|OAS1|MAPK3|MAPK1|NFKB1|MYC|TRAF3|IFNG|TNF|CYCS|IRF7|IRF3|TP53|TBK1|E2F1|IFNA2|IFNA1|CDK2|CDK4|MAVS	http://www.genome.jp/kegg-bin/show_pathway?hsa05160/hsa:29110%09red/hsa:3665%09red/hsa:3661%09red/hsa:3627%09red/hsa:1019%09red/hsa:355%09red/hsa:23586%09red/hsa:1017%09red/hsa:5925%09red/hsa:3458%09red/hsa:7124%09red/hsa:3456%09red/hsa:4938%09red/hsa:1950%09red/hsa:1956%09red/hsa:7187%09red/hsa:3439%09red/hsa:5595%09red/hsa:5594%09red/hsa:54205%09red/hsa:581%09red/hsa:4790%09red/hsa:57506%09red/hsa:207%09red/hsa:6772%09red/hsa:4599%09red/hsa:7157%09red/hsa:3440%09red/hsa:4609%09red/hsa:1869%09red/hsa:9641%09red
NOD-like receptor signaling pathway	KEGG PATHWAY	hsa04621	31	178	1.38072692437e-37	6.5326793215e-35	BCL2L1|CCL2|ANTXR2|BIRC3|MAPK14|IKBKE|IL1B|STAT1|CCL5|IFNB1|OAS1|MAPK3|MAPK1|NFKB1|MAPK8|MYD88|IRF3|TRAF3|TNF|RHOA|IL18|CASP5|IRF7|TBK1|IFNA2|IFNA1|IL6|TLR4|MAVS|IL8|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa04621/hsa:29110%09red/hsa:3569%09red/hsa:3665%09red/hsa:3661%09red/hsa:598%09red/hsa:596%09red/hsa:5595%09red/hsa:387%09red/hsa:330%09red/hsa:7124%09red/hsa:7099%09red/hsa:3456%09red/hsa:3606%09red/hsa:6347%09red/hsa:4938%09red/hsa:4615%09red/hsa:7187%09red/hsa:3439%09red/hsa:3553%09red/hsa:5594%09red/hsa:3576%09red/hsa:5599%09red/hsa:57506%09red/hsa:4790%09red/hsa:1432%09red/hsa:6772%09red/hsa:118429%09red/hsa:838%09red/hsa:3440%09red/hsa:6352%09red/hsa:9641%09red
Tuberculosis	KEGG PATHWAY	hsa05152	30	179	5.97421837883e-36	2.64993923966e-33	TGFB1|BAX|MAPK14|CD209|IL1A|IL1B|STAT1|IFNB1|MAPK3|MAPK1|NFKB1|MAPK8|MYD88|NOS2|ITGB2|IFNG|TNF|CYCS|RHOA|IL18|CLEC4M|AKT1|IL10|IFNA2|IFNA1|IL6|CD14|TLR4|TLR9|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa05152/hsa:30835%09red/hsa:3569%09red/hsa:3606%09red/hsa:596%09red/hsa:5595%09red/hsa:5594%09red/hsa:929%09red/hsa:3458%09red/hsa:7124%09red/hsa:7099%09red/hsa:3456%09red/hsa:4615%09red/hsa:387%09red/hsa:3439%09red/hsa:54106%09red/hsa:3553%09red/hsa:3552%09red/hsa:54205%09red/hsa:581%09red/hsa:5599%09red/hsa:4790%09red/hsa:6772%09red/hsa:207%09red/hsa:3689%09red/hsa:1432%09red/hsa:3586%09red/hsa:3440%09red/hsa:10332%09red/hsa:7040%09red/hsa:4843%09red
Kaposi sarcoma-associated herpesvirus infection	KEGG PATHWAY	hsa05167	30	186	1.68296441536e-35	7.02588144461e-33	PTGS2|HLA-C|BAX|MAPK14|AKT1|CCR5|IKBKE|IFNB1|STAT1|FAS|RB1|CD86|MAPK3|MAPK1|ICAM1|NFKB1|MYC|TRAF3|CYCS|IRF7|MAPK8|IRF3|TP53|TBK1|E2F1|IFNA2|IFNA1|IL6|CDK4|IL8	http://www.genome.jp/kegg-bin/show_pathway?hsa05167/hsa:29110%09red/hsa:3569%09red/hsa:3665%09red/hsa:1234%09red/hsa:3383%09red/hsa:1019%09red/hsa:355%09red/hsa:5925%09red/hsa:3661%09red/hsa:942%09red/hsa:5743%09red/hsa:3456%09red/hsa:3107%09red/hsa:7187%09red/hsa:3439%09red/hsa:5595%09red/hsa:5594%09red/hsa:54205%09red/hsa:3576%09red/hsa:5599%09red/hsa:581%09red/hsa:4790%09red/hsa:207%09red/hsa:1432%09red/hsa:6772%09red/hsa:7157%09red/hsa:3440%09red/hsa:4609%09red/hsa:1869%09red/hsa:9641%09red
Chagas disease (American trypanosomiasis)	KEGG PATHWAY	hsa05142	26	103	2.2300013312e-35	8.79239969307e-33	CCL2|TGFB1|ACE|CCL3|SMAD3|MAPK14|AKT1|IL1B|FAS|CCL5|IFNB1|MAPK3|MAPK1|NFKB1|MAPK8|MYD88|NOS2|IFNG|TNF|IL10|KNG1|IL6|IL2|TLR4|TLR9|IL8	http://www.genome.jp/kegg-bin/show_pathway?hsa05142/hsa:3569%09red/hsa:3553%09red/hsa:355%09red/hsa:3458%09red/hsa:7124%09red/hsa:7099%09red/hsa:3456%09red/hsa:6347%09red/hsa:4615%09red/hsa:6348%09red/hsa:54106%09red/hsa:3827%09red/hsa:5594%09red/hsa:4088%09red/hsa:3558%09red/hsa:5595%09red/hsa:3576%09red/hsa:5599%09red/hsa:4790%09red/hsa:207%09red/hsa:1432%09red/hsa:3586%09red/hsa:1636%09red/hsa:6352%09red/hsa:7040%09red/hsa:4843%09red
Interleukin-4 and Interleukin-13 signaling	Reactome	R-HSA-6785807	26	108	6.54970940131e-35	2.44648882216e-32	BCL2L1|TGFB1|PTGS2|HSPA8|HSP90B1|AKT1|IL1A|IL1B|STAT1|ICAM1|MYC|NOS2|ITGB2|IL17A|TNF|CCL2|IL18|TP53|FCER2|IL10|IL13|VIM|IL6|IL4|IL8|BCL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6785807
Human T-cell leukemia virus 1 infection	KEGG PATHWAY	hsa05166	28	219	1.23391054742e-30	4.17003007383e-28	BCL2L1|TGFB1|HLA-C|IL2|BAX|SMAD3|CD4|AKT1|SPI1|RB1|MAPK3|MAPK1|ICAM1|NFKB1|MYC|ITGB2|TCF3|CD40|SLC25A4|TNF|MAPK8|TP53|E2F1|TBP|IL6|CDK2|CDK4|SMAD4	http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:3569%09red/hsa:598%09red/hsa:920%09red/hsa:1019%09red/hsa:1017%09red/hsa:5925%09red/hsa:7124%09red/hsa:3383%09red/hsa:4088%09red/hsa:4089%09red/hsa:3107%09red/hsa:5595%09red/hsa:5594%09red/hsa:6688%09red/hsa:3558%09red/hsa:581%09red/hsa:5599%09red/hsa:6929%09red/hsa:4790%09red/hsa:6908%09red/hsa:207%09red/hsa:3689%09red/hsa:7157%09red/hsa:958%09red/hsa:291%09red/hsa:7040%09red/hsa:4609%09red/hsa:1869%09red
Signal Transduction	Reactome	R-HSA-162582	67	2689	2.18869776059e-30	7.06054000313e-28	TGFB1|CCL4|CCL5|SMAD4|IL2|ADAM17|BIRC3|CAV1|USP7|MAPK14|AKT1|PSMD2|CCR5|CCR6|CCR7|CD86|CXCR3|EGF|FURIN|GLI2|MYB|STAT1|RPS6KA3|PTGER4|FAS|PTGER1|PTGER3|USF2|MAPK3|MAPK1|FCER2|PTBP1|MYD88|PCSK5|PSMD1|TUBB4|MAPK8|PLAT|RHOJ|TNF|PRKCA|BAX|VEGFC|NFKB1|CXCL10|RHOA|SMAD3|MYC|ADAM10|F3|TP53|E2F1|STUB1|CXCL9|TBP|KNG1|KIT|IL6|RUNX3|CDK2|IL5|CDK4|CD80|EGFR|TLR9|IL8|BCL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
AGE-RAGE signaling pathway in diabetic complications	KEGG PATHWAY	hsa04933	22	100	6.05570063163e-29	1.86857858186e-26	CCL2|TGFB1|SMAD4|BAX|SMAD3|MAPK14|AKT1|IL1A|IL1B|STAT1|MAPK3|MAPK1|ICAM1|NFKB1|MAPK8|PRKCA|TNF|VEGFC|IL6|CDK4|IL8|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa04933/hsa:3569%09red/hsa:3383%09red/hsa:596%09red/hsa:5595%09red/hsa:5594%09red/hsa:5578%09red/hsa:7124%09red/hsa:6347%09red/hsa:4088%09red/hsa:4089%09red/hsa:3553%09red/hsa:3552%09red/hsa:3576%09red/hsa:5599%09red/hsa:581%09red/hsa:7424%09red/hsa:4790%09red/hsa:207%09red/hsa:1432%09red/hsa:6772%09red/hsa:1019%09red/hsa:7040%09red
Toxoplasmosis	KEGG PATHWAY	hsa05145	22	113	6.55559284191e-28	1.93854343329e-25	BCL2L1|TGFB1|CD40LG|HSPA8|BIRC3|CYCS|MAPK14|AKT1|CCR5|STAT1|MAPK3|MAPK1|NFKB1|MAPK8|MYD88|NOS2|IFNG|CD40|TNF|IL10|TLR4|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa05145/hsa:1234%09red/hsa:598%09red/hsa:596%09red/hsa:330%09red/hsa:3458%09red/hsa:7124%09red/hsa:7099%09red/hsa:3312%09red/hsa:4615%09red/hsa:5595%09red/hsa:5594%09red/hsa:54205%09red/hsa:5599%09red/hsa:4790%09red/hsa:6772%09red/hsa:207%09red/hsa:1432%09red/hsa:3586%09red/hsa:959%09red/hsa:958%09red/hsa:7040%09red/hsa:4843%09red
IL-17 signaling pathway	KEGG PATHWAY	hsa04657	21	93	6.87537924569e-28	1.95178266027e-25	CCL2|PTGS2|TRAF3|IL17A|TBK1|MAPK1|IFNG|IL5|HSP90B1|MAPK14|MAPK3|IL4|TNF|IKBKE|NFKB1|CXCL10|IL1B|IL13|MAPK8|IL8|IL6	http://www.genome.jp/kegg-bin/show_pathway?hsa04657/hsa:29110%09red/hsa:3569%09red/hsa:3553%09red/hsa:3596%09red/hsa:3605%09red/hsa:5595%09red/hsa:7124%09red/hsa:5743%09red/hsa:3627%09red/hsa:3576%09red/hsa:5599%09red/hsa:3565%09red/hsa:6347%09red/hsa:9641%09red/hsa:5594%09red/hsa:4790%09red/hsa:1432%09red/hsa:3458%09red/hsa:3567%09red/hsa:7187%09red/hsa:7184%09red
Interleukin-10 signaling	Reactome	R-HSA-6783783	18	47	1.3138939752e-27	3.58642520845e-25	CCL2|PTGS2|CCL4|CCL3|IL10|CD80|FCER2|CCL5|CD86|IL6|IL18|TNF|CCR5|ICAM1|IL1A|CXCL10|IL1B|IL8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6783783
Human papillomavirus infection	KEGG PATHWAY	hsa05165	29	330	2.16091827201e-27	5.68001369498e-25	PTGS2|HLA-C|EGFR|BAX|MX1|AKT1|IKBKE|EGF|STAT1|PTGER4|FAS|RB1|IFNB1|MAPK3|MAPK1|ISG15|NFKB1|TRAF3|TNF|IRF3|IRF1|TP53|TBK1|E2F1|TBP|IFNA1|CDK2|CDK4|IFNA2	http://www.genome.jp/kegg-bin/show_pathway?hsa05165/hsa:29110%09red/hsa:3661%09red/hsa:1019%09red/hsa:355%09red/hsa:1017%09red/hsa:5925%09red/hsa:7124%09red/hsa:5743%09red/hsa:3456%09red/hsa:1950%09red/hsa:1956%09red/hsa:3107%09red/hsa:7187%09red/hsa:3439%09red/hsa:9636%09red/hsa:3659%09red/hsa:5595%09red/hsa:5594%09red/hsa:581%09red/hsa:4790%09red/hsa:6908%09red/hsa:207%09red/hsa:6772%09red/hsa:4599%09red/hsa:7157%09red/hsa:3440%09red/hsa:1869%09red/hsa:9641%09red/hsa:5734%09red
Pertussis	KEGG PATHWAY	hsa05133	19	76	4.43634408079e-26	1.12445478362e-23	IRF3|IL6|NOS2|ITGB2|MAPK1|IL10|RHOA|IRF1|MAPK14|MAPK3|CD14|TNF|TLR4|NFKB1|IL1A|IL1B|MYD88|MAPK8|IL8	http://www.genome.jp/kegg-bin/show_pathway?hsa05133/hsa:3689%09red/hsa:3569%09red/hsa:3553%09red/hsa:3552%09red/hsa:3586%09red/hsa:3661%09red/hsa:7124%09red/hsa:7099%09red/hsa:5595%09red/hsa:5599%09red/hsa:3576%09red/hsa:5594%09red/hsa:4790%09red/hsa:4615%09red/hsa:3659%09red/hsa:4843%09red/hsa:929%09red/hsa:387%09red/hsa:1432%09red
Yersinia infection	KEGG PATHWAY	hsa05135	21	121	9.31943562745e-26	2.28069084993e-23	CCL2|IL6|RHOA|RPS6KA3|TBK1|AKT1|IL10|IL18|IFNB1|MAPK14|MAPK3|TNF|IL2|TLR4|NFKB1|IRF3|MAPK1|IL1B|MYD88|MAPK8|IL8	http://www.genome.jp/kegg-bin/show_pathway?hsa05135/hsa:29110%09red/hsa:3569%09red/hsa:3553%09red/hsa:5594%09red/hsa:3586%09red/hsa:3661%09red/hsa:3606%09red/hsa:7124%09red/hsa:7099%09red/hsa:3456%09red/hsa:5595%09red/hsa:5599%09red/hsa:3576%09red/hsa:6347%09red/hsa:3558%09red/hsa:4790%09red/hsa:4615%09red/hsa:6197%09red/hsa:1432%09red/hsa:207%09red/hsa:387%09red
