




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	upload_1 (278)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of developmental process (GO:0050793)	2625	100	34.76	+	2.88	2.94E-23	5.32E-21
biological regulation (GO:0065007)	12526	242	165.85	+	1.46	3.49E-23	6.25E-21
interspecies interaction between organisms (GO:0044419)	863	57	11.43	+	4.99	4.01E-23	7.09E-21
positive regulation of gene expression (GO:0010628)	2034	87	26.93	+	3.23	4.26E-23	7.46E-21
cellular process (GO:0009987)	14677	261	194.33	+	1.34	7.51E-23	1.30E-20
regulation of molecular function (GO:0065009)	3063	108	40.56	+	2.66	8.52E-23	1.46E-20
regulation of cell-cell adhesion (GO:0022407)	414	41	5.48	+	7.48	1.24E-22	2.10E-20
positive regulation of cell population proliferation (GO:0008284)	925	58	12.25	+	4.74	1.75E-22	2.93E-20
regulation of biological process (GO:0050789)	11823	233	156.54	+	1.49	2.89E-22	4.80E-20
regulation of establishment of protein localization (GO:0070201)	773	53	10.23	+	5.18	3.48E-22	5.72E-20
regulation of intracellular signal transduction (GO:1902531)	1794	80	23.75	+	3.37	3.67E-22	5.96E-20
regulation of protein localization (GO:0032880)	1049	61	13.89	+	4.39	4.43E-22	7.12E-20
regulation of hemopoiesis (GO:1903706)	460	42	6.09	+	6.90	6.24E-22	9.93E-20
defense response to other organism (GO:0098542)	963	58	12.75	+	4.55	1.12E-21	1.77E-19
regulation of cell adhesion (GO:0030155)	700	50	9.27	+	5.39	1.19E-21	1.85E-19
regulation of cellular process (GO:0050794)	11121	224	147.25	+	1.52	1.88E-21	2.90E-19
regulation of multicellular organismal development (GO:2000026)	2067	85	27.37	+	3.11	1.95E-21	2.99E-19
regulation of protein secretion (GO:0050708)	478	42	6.33	+	6.64	2.39E-21	3.62E-19
negative regulation of programmed cell death (GO:0043069)	915	56	12.12	+	4.62	3.13E-21	4.71E-19
regulation of leukocyte cell-cell adhesion (GO:1903037)	307	35	4.06	+	8.61	3.18E-21	4.74E-19
symbiotic process (GO:0044403)	784	52	10.38	+	5.01	3.67E-21	5.41E-19
positive regulation of defense response (GO:0031349)	459	41	6.08	+	6.75	4.26E-21	6.23E-19
negative regulation of multicellular organismal process (GO:0051241)	1212	64	16.05	+	3.99	4.27E-21	6.18E-19
regulation of protein transport (GO:0051223)	726	50	9.61	+	5.20	5.20E-21	7.45E-19
response to organic cyclic compound (GO:0014070)	926	56	12.26	+	4.57	5.33E-21	7.58E-19
cellular response to oxygen-containing compound (GO:1901701)	1077	60	14.26	+	4.21	7.80E-21	1.10E-18
negative regulation of cell death (GO:0060548)	1005	58	13.31	+	4.36	7.94E-21	1.11E-18
apoptotic process (GO:0006915)	908	55	12.02	+	4.57	1.18E-20	1.64E-18
positive regulation of establishment of protein localization (GO:1904951)	473	41	6.26	+	6.55	1.19E-20	1.63E-18
cellular response to lipid (GO:0071396)	529	43	7.00	+	6.14	1.21E-20	1.65E-18
regulation of leukocyte differentiation (GO:1902105)	280	33	3.71	+	8.90	1.84E-20	2.49E-18
regulation of peptide secretion (GO:0002791)	508	42	6.73	+	6.24	1.98E-20	2.65E-18
lymphocyte activation (GO:0046649)	379	37	5.02	+	7.37	2.71E-20	3.59E-18
regulation of peptide transport (GO:0090087)	758	50	10.04	+	4.98	2.95E-20	3.88E-18
regulation of macromolecule metabolic process (GO:0060255)	6221	157	82.37	+	1.91	2.95E-20	3.86E-18
regulation of cellular metabolic process (GO:0031323)	6303	158	83.46	+	1.89	4.02E-20	5.21E-18
regulation of nitrogen compound metabolic process (GO:0051171)	5908	152	78.23	+	1.94	4.59E-20	5.90E-18
regulation of catalytic activity (GO:0050790)	2383	89	31.55	+	2.82	7.71E-20	9.82E-18
positive regulation of biosynthetic process (GO:0009891)	2055	82	27.21	+	3.01	7.88E-20	9.95E-18
positive regulation of cell activation (GO:0050867)	423	38	5.60	+	6.78	1.12E-19	1.40E-17
regulation of primary metabolic process (GO:0080090)	6095	154	80.70	+	1.91	1.13E-19	1.40E-17
regulation of metabolic process (GO:0019222)	6774	164	89.69	+	1.83	1.26E-19	1.56E-17
cell death (GO:0008219)	1074	58	14.22	+	4.08	1.60E-19	1.97E-17
regulation of secretion (GO:0051046)	825	51	10.92	+	4.67	1.64E-19	1.99E-17
programmed cell death (GO:0012501)	1039	57	13.76	+	4.14	1.75E-19	2.11E-17
negative regulation of apoptotic process (GO:0043066)	899	53	11.90	+	4.45	2.07E-19	2.48E-17
response to virus (GO:0009615)	284	32	3.76	+	8.51	2.44E-19	2.90E-17
regulation of secretion by cell (GO:1903530)	767	49	10.16	+	4.82	2.60E-19	3.07E-17
positive regulation of protein transport (GO:0051222)	435	38	5.76	+	6.60	2.71E-19	3.17E-17
positive regulation of leukocyte activation (GO:0002696)	409	37	5.42	+	6.83	2.85E-19	3.31E-17
regulation of lymphocyte activation (GO:0051249)	523	41	6.92	+	5.92	3.54E-19	4.09E-17
homeostatic process (GO:0042592)	1662	72	22.01	+	3.27	3.85E-19	4.41E-17
regulation of cell activation (GO:0050865)	646	45	8.55	+	5.26	4.04E-19	4.60E-17
positive regulation of secretion by cell (GO:1903532)	414	37	5.48	+	6.75	4.14E-19	4.67E-17
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	224	29	2.97	+	9.78	4.24E-19	4.76E-17
positive regulation of cellular biosynthetic process (GO:0031328)	2023	80	26.79	+	2.99	4.41E-19	4.91E-17
positive regulation of macromolecule biosynthetic process (GO:0010557)	1932	78	25.58	+	3.05	4.44E-19	4.91E-17
positive regulation of cell-cell adhesion (GO:0022409)	268	31	3.55	+	8.74	4.61E-19	5.06E-17
positive regulation of developmental process (GO:0051094)	1390	65	18.40	+	3.53	8.11E-19	8.85E-17
secretion (GO:0046903)	1117	58	14.79	+	3.92	9.28E-19	1.01E-16
positive regulation of molecular function (GO:0044093)	1823	75	24.14	+	3.11	9.56E-19	1.03E-16
leukocyte mediated immunity (GO:0002443)	760	48	10.06	+	4.77	9.84E-19	1.05E-16
regulation of leukocyte activation (GO:0002694)	606	43	8.02	+	5.36	1.43E-18	1.52E-16
positive regulation of protein secretion (GO:0050714)	280	31	3.71	+	8.36	1.45E-18	1.53E-16
regulation of cell differentiation (GO:0045595)	1842	75	24.39	+	3.08	1.68E-18	1.76E-16
leukocyte activation involved in immune response (GO:0002366)	618	43	8.18	+	5.25	2.83E-18	2.94E-16
cell activation involved in immune response (GO:0002263)	622	43	8.24	+	5.22	3.54E-18	3.66E-16
hematopoietic or lymphoid organ development (GO:0048534)	622	43	8.24	+	5.22	3.54E-18	3.63E-16
secretion by cell (GO:0032940)	1000	54	13.24	+	4.08	3.60E-18	3.67E-16
positive regulation of secretion (GO:0051047)	445	37	5.89	+	6.28	3.77E-18	3.82E-16
positive regulation of transcription, DNA-templated (GO:0045893)	1564	68	20.71	+	3.28	4.11E-18	4.14E-16
positive regulation of lymphocyte activation (GO:0051251)	367	34	4.86	+	7.00	4.56E-18	4.57E-16
immune system development (GO:0002520)	659	44	8.73	+	5.04	4.70E-18	4.68E-16
leukocyte differentiation (GO:0002521)	343	33	4.54	+	7.27	5.17E-18	5.11E-16
viral process (GO:0016032)	701	45	9.28	+	4.85	7.69E-18	7.56E-16
positive regulation of cell motility (GO:2000147)	545	40	7.22	+	5.54	8.61E-18	8.41E-16
positive regulation of locomotion (GO:0040017)	576	41	7.63	+	5.38	8.86E-18	8.61E-16
positive regulation of peptide secretion (GO:0002793)	302	31	4.00	+	7.75	1.04E-17	1.01E-15
positive regulation of hemopoiesis (GO:1903708)	192	26	2.54	+	10.23	1.16E-17	1.11E-15
multicellular organismal process (GO:0032501)	7019	163	92.94	+	1.75	1.92E-17	1.83E-15
export from cell (GO:0140352)	1044	54	13.82	+	3.91	2.15E-17	2.03E-15
positive regulation of cellular component movement (GO:0051272)	561	40	7.43	+	5.39	2.20E-17	2.07E-15
regulation of MAPK cascade (GO:0043408)	730	45	9.67	+	4.66	3.26E-17	3.06E-15
localization (GO:0051179)	5797	144	76.76	+	1.88	3.71E-17	3.45E-15
response to drug (GO:0042493)	1020	53	13.51	+	3.92	3.73E-17	3.45E-15
hemopoiesis (GO:0030097)	572	40	7.57	+	5.28	4.11E-17	3.78E-15
regulation of inflammatory response (GO:0050727)	345	32	4.57	+	7.01	4.52E-17	4.13E-15
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1912	74	25.32	+	2.92	4.54E-17	4.13E-15
regulation of reactive oxygen species metabolic process (GO:2000377)	184	25	2.44	+	10.26	4.67E-17	4.22E-15
lipopolysaccharide-mediated signaling pathway (GO:0031663)	35	15	.46	+	32.37	5.66E-17	5.10E-15
regulation of T cell activation (GO:0050863)	323	31	4.28	+	7.25	5.97E-17	5.34E-15
myeloid leukocyte activation (GO:0002274)	580	40	7.68	+	5.21	6.42E-17	5.71E-15
positive regulation of cell migration (GO:0030335)	519	38	6.87	+	5.53	6.62E-17	5.86E-15
positive regulation of nucleic acid-templated transcription (GO:1903508)	1660	68	21.98	+	3.09	7.88E-17	6.93E-15
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	254	28	3.36	+	8.33	8.05E-17	7.04E-15
positive regulation of RNA biosynthetic process (GO:1902680)	1661	68	21.99	+	3.09	8.11E-17	7.06E-15
cellular homeostasis (GO:0019725)	894	49	11.84	+	4.14	9.41E-17	8.15E-15
regulation of immune effector process (GO:0002697)	468	36	6.20	+	5.81	1.10E-16	9.48E-15
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	192	25	2.54	+	9.83	1.15E-16	9.87E-15
regulation of cell motility (GO:2000145)	938	50	12.42	+	4.03	1.27E-16	1.08E-14
positive regulation of multi-organism process (GO:0043902)	501	37	6.63	+	5.58	1.36E-16	1.15E-14
organic substance metabolic process (GO:0071704)	7888	173	104.44	+	1.66	1.59E-16	1.34E-14
regulation of cell migration (GO:0030334)	873	48	11.56	+	4.15	1.81E-16	1.52E-14
positive regulation of catalytic activity (GO:0043085)	1471	63	19.48	+	3.23	1.90E-16	1.59E-14
organonitrogen compound metabolic process (GO:1901564)	5332	135	70.60	+	1.91	2.04E-16	1.70E-14
MAPK cascade (GO:0000165)	366	32	4.85	+	6.60	2.17E-16	1.79E-14
innate immune response (GO:0045087)	774	45	10.25	+	4.39	2.58E-16	2.12E-14
positive regulation of RNA metabolic process (GO:0051254)	1748	69	23.14	+	2.98	2.74E-16	2.23E-14
positive regulation of MAPK cascade (GO:0043410)	544	38	7.20	+	5.28	2.80E-16	2.28E-14
system development (GO:0048731)	4445	120	58.85	+	2.04	3.22E-16	2.60E-14
cellular cation homeostasis (GO:0030003)	645	41	8.54	+	4.80	3.63E-16	2.92E-14
positive regulation of cell death (GO:0010942)	713	43	9.44	+	4.55	3.77E-16	3.02E-14
cation homeostasis (GO:0055080)	714	43	9.45	+	4.55	3.95E-16	3.15E-14
response to abiotic stimulus (GO:0009628)	1161	55	15.37	+	3.58	3.96E-16	3.13E-14
multicellular organism development (GO:0007275)	5073	130	67.17	+	1.94	4.31E-16	3.39E-14
regulation of leukocyte migration (GO:0002685)	205	25	2.71	+	9.21	4.62E-16	3.62E-14
response to toxic substance (GO:0009636)	522	37	6.91	+	5.35	4.64E-16	3.62E-14
inorganic ion homeostasis (GO:0098771)	726	43	9.61	+	4.47	6.93E-16	5.38E-14
cellular ion homeostasis (GO:0006873)	659	41	8.73	+	4.70	7.27E-16	5.62E-14
negative regulation of response to stimulus (GO:0048585)	1649	66	21.83	+	3.02	7.62E-16	5.86E-14
positive regulation of leukocyte differentiation (GO:1902107)	151	22	2.00	+	11.00	1.02E-15	7.83E-14
metal ion homeostasis (GO:0055065)	633	40	8.38	+	4.77	1.04E-15	7.95E-14
cellular metal ion homeostasis (GO:0006875)	568	38	7.52	+	5.05	1.04E-15	7.91E-14
lymphocyte differentiation (GO:0030098)	237	26	3.14	+	8.29	1.19E-15	8.98E-14
positive regulation of cell adhesion (GO:0045785)	419	33	5.55	+	5.95	1.21E-15	9.10E-14
signal transduction by protein phosphorylation (GO:0023014)	391	32	5.18	+	6.18	1.24E-15	9.24E-14
positive regulation of lymphocyte proliferation (GO:0050671)	134	21	1.77	+	11.84	1.27E-15	9.45E-14
anatomical structure development (GO:0048856)	5462	135	72.32	+	1.87	1.39E-15	1.03E-13
positive regulation of mononuclear cell proliferation (GO:0032946)	135	21	1.79	+	11.75	1.45E-15	1.07E-13
regulation of mononuclear cell proliferation (GO:0032944)	218	25	2.89	+	8.66	1.69E-15	1.24E-13
Unclassified (UNCLASSIFIED)	3111	3	41.19	-	.07	1.76E-15	1.28E-13
biological_process (GO:0008150)	17885	275	236.81	+	1.16	1.76E-15	1.28E-13
chemical homeostasis (GO:0048878)	1127	53	14.92	+	3.55	2.01E-15	1.45E-13
positive regulation of immune effector process (GO:0002699)	220	25	2.91	+	8.58	2.05E-15	1.48E-13
developmental process (GO:0032502)	5912	142	78.28	+	1.81	2.05E-15	1.47E-13
regulation of locomotion (GO:0040012)	1010	50	13.37	+	3.74	2.11E-15	1.51E-13
regulation of response to biotic stimulus (GO:0002831)	519	36	6.87	+	5.24	2.24E-15	1.59E-13
leukocyte migration (GO:0050900)	373	31	4.94	+	6.28	2.40E-15	1.70E-13
response to nitrogen compound (GO:1901698)	1093	52	14.47	+	3.59	2.48E-15	1.74E-13
cellular chemical homeostasis (GO:0055082)	758	43	10.04	+	4.28	2.93E-15	2.06E-13
regulation of DNA-binding transcription factor activity (GO:0051090)	434	33	5.75	+	5.74	3.12E-15	2.18E-13
positive regulation of leukocyte proliferation (GO:0070665)	141	21	1.87	+	11.25	3.16E-15	2.19E-13
regulation of cellular component movement (GO:0051270)	1021	50	13.52	+	3.70	3.17E-15	2.19E-13
positive regulation of transferase activity (GO:0051347)	692	41	9.16	+	4.47	3.50E-15	2.42E-13
ion homeostasis (GO:0050801)	798	44	10.57	+	4.16	3.52E-15	2.42E-13
positive regulation of response to biotic stimulus (GO:0002833)	353	30	4.67	+	6.42	4.02E-15	2.74E-13
regulated exocytosis (GO:0045055)	695	41	9.20	+	4.46	4.02E-15	2.74E-13
positive regulation of T cell activation (GO:0050870)	206	24	2.73	+	8.80	4.61E-15	3.13E-13
regulation of leukocyte proliferation (GO:0070663)	229	25	3.03	+	8.25	4.78E-15	3.22E-13
regulation of production of molecular mediator of immune response (GO:0002700)	148	21	1.96	+	10.72	7.50E-15	5.04E-13
exocytosis (GO:0006887)	785	43	10.39	+	4.14	9.37E-15	6.27E-13
regulation of lymphocyte proliferation (GO:0050670)	216	24	2.86	+	8.39	1.20E-14	8.02E-13
cellular metabolic process (GO:0044237)	7693	166	101.86	+	1.63	1.26E-14	8.37E-13
B cell activation (GO:0042113)	153	21	2.03	+	10.37	1.36E-14	8.96E-13
metabolic process (GO:0008152)	8448	176	111.86	+	1.57	1.50E-14	9.86E-13
positive regulation of apoptotic process (GO:0043065)	656	39	8.69	+	4.49	1.60E-14	1.05E-12
regulation of cellular component organization (GO:0051128)	2536	82	33.58	+	2.44	1.74E-14	1.14E-12
positive regulation of programmed cell death (GO:0043068)	661	39	8.75	+	4.46	2.02E-14	1.31E-12
regulation of receptor signaling pathway via STAT (GO:1904892)	137	20	1.81	+	11.03	2.06E-14	1.33E-12
defense response to virus (GO:0051607)	201	23	2.66	+	8.64	2.48E-14	1.60E-12
nitrogen compound metabolic process (GO:0006807)	7038	156	93.19	+	1.67	2.78E-14	1.78E-12
response to endogenous stimulus (GO:0009719)	1510	60	19.99	+	3.00	2.95E-14	1.89E-12
protein phosphorylation (GO:0006468)	966	47	12.79	+	3.67	3.07E-14	1.95E-12
positive regulation of protein kinase activity (GO:0045860)	537	35	7.11	+	4.92	3.22E-14	2.04E-12
regulation of peptidyl-serine phosphorylation (GO:0033135)	142	20	1.88	+	10.64	3.79E-14	2.40E-12
animal organ development (GO:0048513)	3215	94	42.57	+	2.21	3.81E-14	2.40E-12
regulation of T cell differentiation (GO:0045580)	143	20	1.89	+	10.56	4.27E-14	2.68E-12
negative regulation of metabolic process (GO:0009892)	2964	89	39.25	+	2.27	4.61E-14	2.88E-12
transport (GO:0006810)	4560	117	60.38	+	1.94	4.80E-14	2.99E-12
positive regulation of peptidyl-serine phosphorylation (GO:0033138)	107	18	1.42	+	12.71	4.88E-14	3.02E-12
myeloid leukocyte mediated immunity (GO:0002444)	513	34	6.79	+	5.01	4.92E-14	3.03E-12
regulation of transferase activity (GO:0051338)	1019	48	13.49	+	3.56	4.97E-14	3.06E-12
macromolecule metabolic process (GO:0043170)	6212	143	82.25	+	1.74	4.99E-14	3.06E-12
positive regulation of kinase activity (GO:0033674)	615	37	8.14	+	4.54	5.73E-14	3.49E-12
regulation of cytokine secretion (GO:0050707)	212	23	2.81	+	8.19	6.96E-14	4.23E-12
positive regulation of cell differentiation (GO:0045597)	990	47	13.11	+	3.59	7.24E-14	4.38E-12
regulation of lymphocyte differentiation (GO:0045619)	171	21	2.26	+	9.28	9.83E-14	5.93E-12
leukocyte proliferation (GO:0070661)	95	17	1.26	+	13.52	1.02E-13	6.15E-12
positive regulation of DNA-binding transcription factor activity (GO:0051091)	267	25	3.54	+	7.07	1.18E-13	7.08E-12
cellular response to mechanical stimulus (GO:0071260)	80	16	1.06	+	15.11	1.22E-13	7.27E-12
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	133	19	1.76	+	10.79	1.33E-13	7.92E-12
negative regulation of cell differentiation (GO:0045596)	711	39	9.41	+	4.14	1.81E-13	1.07E-11
response to tumor necrosis factor (GO:0034612)	273	25	3.61	+	6.92	1.87E-13	1.11E-11
positive regulation of transcription by RNA polymerase II (GO:0045944)	1225	52	16.22	+	3.21	1.90E-13	1.12E-11
mononuclear cell proliferation (GO:0032943)	83	16	1.10	+	14.56	2.01E-13	1.18E-11
positive regulation of reactive oxygen species metabolic process (GO:2000379)	100	17	1.32	+	12.84	2.15E-13	1.25E-11
negative regulation of cytokine production (GO:0001818)	276	25	3.65	+	6.84	2.35E-13	1.37E-11
positive regulation of innate immune response (GO:0045089)	331	27	4.38	+	6.16	2.54E-13	1.47E-11
regulation of protein kinase activity (GO:0045859)	795	41	10.53	+	3.90	2.78E-13	1.60E-11
cellular response to organic cyclic compound (GO:0071407)	548	34	7.26	+	4.69	2.89E-13	1.66E-11
establishment of localization (GO:0051234)	4690	117	62.10	+	1.88	3.13E-13	1.79E-11
positive regulation of receptor signaling pathway via STAT (GO:1904894)	88	16	1.17	+	13.73	4.45E-13	2.54E-11
response to interferon-gamma (GO:0034341)	187	21	2.48	+	8.48	4.79E-13	2.73E-11
cellular response to interferon-gamma (GO:0071346)	165	20	2.18	+	9.15	4.83E-13	2.74E-11
positive regulation of cytokine secretion (GO:0050715)	146	19	1.93	+	9.83	6.00E-13	3.39E-11
