##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Pathways in cancer	KEGG PATHWAY	hsa05200	39	530	6.62774842684e-48	6.60364752347e-46	BCL2L1|TGFB1|PTGS2|IL2|BIRC3|HSP90B1|SMAD3|AKT1|CYCS|EGF|STAT1|FAS|CDK2|RB1|MAPK3|MAPK1|NFKB1|MYC|NOS2|TRAF3|IFNG|EGFR|IL7R|PRKCA|BAX|RHOA|MAPK8|TP53|E2F1|IFNA2|IFNA1|IL13|KIT|IL6|IL4|IL5|CDK4|IL8|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:3569%09red/hsa:598%09red/hsa:3815%09red/hsa:3565%09red/hsa:3567%09red/hsa:387%09red/hsa:1019%09red/hsa:355%09red/hsa:330%09red/hsa:1017%09red/hsa:5578%09red/hsa:5925%09red/hsa:3458%09red/hsa:5743%09red/hsa:1950%09red/hsa:1956%09red/hsa:4088%09red/hsa:596%09red/hsa:7187%09red/hsa:7184%09red/hsa:3439%09red/hsa:5595%09red/hsa:5594%09red/hsa:54205%09red/hsa:581%09red/hsa:5599%09red/hsa:3576%09red/hsa:4790%09red/hsa:3558%09red/hsa:3596%09red/hsa:3575%09red/hsa:4843%09red/hsa:207%09red/hsa:6772%09red/hsa:7157%09red/hsa:3440%09red/hsa:7040%09red/hsa:4609%09red/hsa:1869%09red
Human cytomegalovirus infection	KEGG PATHWAY	hsa05163	32	225	1.1162866208e-47	1.01954178033e-45	CCL2|PTGS2|CCL4|CCL3|HLA-C|EGFR|BAX|MAPK14|AKT1|CCR5|IL1B|TBK1|FAS|CCL5|RB1|IFNB1|MAPK3|MAPK1|NFKB1|MYC|PRKCA|TNF|CYCS|RHOA|IRF3|TP53|E2F1|IFNA2|IFNA1|IL6|CDK4|IL8	http://www.genome.jp/kegg-bin/show_pathway?hsa05163/hsa:29110%09red/hsa:3569%09red/hsa:1234%09red/hsa:5595%09red/hsa:1019%09red/hsa:355%09red/hsa:5578%09red/hsa:5925%09red/hsa:3661%09red/hsa:7124%09red/hsa:5743%09red/hsa:3456%09red/hsa:6347%09red/hsa:1956%09red/hsa:3107%09red/hsa:387%09red/hsa:6348%09red/hsa:3553%09red/hsa:5594%09red/hsa:54205%09red/hsa:3576%09red/hsa:4790%09red/hsa:581%09red/hsa:207%09red/hsa:1432%09red/hsa:7157%09red/hsa:3440%09red/hsa:6351%09red/hsa:6352%09red/hsa:4609%09red/hsa:1869%09red/hsa:3439%09red
Kaposi sarcoma-associated herpesvirus infection	KEGG PATHWAY	hsa05167	30	186	3.542519918e-46	2.9866167924e-44	PTGS2|HLA-C|BAX|MAPK14|AKT1|CCR5|IKBKE|IFNB1|STAT1|FAS|RB1|CD86|MAPK3|MAPK1|ICAM1|NFKB1|MYC|TRAF3|CYCS|IRF7|MAPK8|IRF3|TP53|TBK1|E2F1|IFNA2|IFNA1|IL6|CDK4|IL8	http://www.genome.jp/kegg-bin/show_pathway?hsa05167/hsa:29110%09red/hsa:3569%09red/hsa:3665%09red/hsa:1234%09red/hsa:3383%09red/hsa:1019%09red/hsa:355%09red/hsa:5925%09red/hsa:3661%09red/hsa:942%09red/hsa:5743%09red/hsa:3456%09red/hsa:3107%09red/hsa:7187%09red/hsa:3439%09red/hsa:5595%09red/hsa:5594%09red/hsa:54205%09red/hsa:3576%09red/hsa:5599%09red/hsa:581%09red/hsa:4790%09red/hsa:207%09red/hsa:1432%09red/hsa:6772%09red/hsa:7157%09red/hsa:3440%09red/hsa:4609%09red/hsa:1869%09red/hsa:9641%09red
NOD-like receptor signaling pathway	KEGG PATHWAY	hsa04621	29	178	9.56998367413e-45	7.49193007632e-43	BCL2L1|CCL2|CCL5|BIRC3|MAPK14|IKBKE|IL1B|STAT1|IFNB1|OAS1|MAPK3|MAPK1|NFKB1|MAPK8|MYD88|IRF3|TRAF3|TNF|RHOA|IL18|IRF7|TBK1|IFNA2|IFNA1|IL6|TLR4|MAVS|IL8|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa04621/hsa:29110%09red/hsa:3569%09red/hsa:3665%09red/hsa:3661%09red/hsa:598%09red/hsa:596%09red/hsa:5595%09red/hsa:387%09red/hsa:330%09red/hsa:7124%09red/hsa:7099%09red/hsa:3456%09red/hsa:3606%09red/hsa:6347%09red/hsa:4938%09red/hsa:4615%09red/hsa:7187%09red/hsa:3439%09red/hsa:3553%09red/hsa:5594%09red/hsa:3576%09red/hsa:5599%09red/hsa:57506%09red/hsa:4790%09red/hsa:1432%09red/hsa:6772%09red/hsa:3440%09red/hsa:6352%09red/hsa:9641%09red
Tuberculosis	KEGG PATHWAY	hsa05152	29	179	1.11032354521e-44	8.11276403702e-43	TGFB1|BAX|MAPK14|CD209|IL1A|IL1B|STAT1|IFNB1|MAPK3|MAPK1|NFKB1|MAPK8|MYD88|NOS2|ITGB2|IFNG|TNF|CYCS|RHOA|IL18|AKT1|IL10|IFNA2|IFNA1|IL6|CD14|TLR4|TLR9|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa05152/hsa:30835%09red/hsa:3569%09red/hsa:3606%09red/hsa:596%09red/hsa:5595%09red/hsa:5594%09red/hsa:929%09red/hsa:3458%09red/hsa:7124%09red/hsa:7099%09red/hsa:3456%09red/hsa:4615%09red/hsa:387%09red/hsa:3439%09red/hsa:54106%09red/hsa:3553%09red/hsa:3552%09red/hsa:54205%09red/hsa:581%09red/hsa:5599%09red/hsa:4790%09red/hsa:6772%09red/hsa:207%09red/hsa:3689%09red/hsa:1432%09red/hsa:3586%09red/hsa:3440%09red/hsa:7040%09red/hsa:4843%09red
Interleukin-4 and Interleukin-13 signaling	Reactome	R-HSA-6785807	26	108	4.3453536356e-44	2.97656724038e-42	BCL2L1|TGFB1|PTGS2|HSPA8|HSP90B1|AKT1|IL1A|IL1B|STAT1|ICAM1|MYC|NOS2|ITGB2|IL17A|TNF|CCL2|IL18|TP53|FCER2|IL10|IL13|VIM|IL6|IL4|IL8|BCL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6785807
Cytokine-cytokine receptor interaction	KEGG PATHWAY	hsa04060	31	294	1.97842819529e-42	1.27550429532e-40	CCL2|TGFB1|CD40LG|CCL4|CCL3|CD4|CCR5|CCR6|IL1A|IL1B|FAS|CCL5|IL28A|IFNB1|IL17A|IFNG|IL7R|CD27|CD40|TNF|CXCL10|IL18|IL10|IFNA2|IFNA1|IL13|IL6|IL4|IL5|IL2|IL8	http://www.genome.jp/kegg-bin/show_pathway?hsa04060/hsa:3569%09red/hsa:3605%09red/hsa:1234%09red/hsa:1235%09red/hsa:3627%09red/hsa:3565%09red/hsa:3567%09red/hsa:920%09red/hsa:355%09red/hsa:958%09red/hsa:3596%09red/hsa:3458%09red/hsa:7124%09red/hsa:3456%09red/hsa:3606%09red/hsa:6347%09red/hsa:6348%09red/hsa:3553%09red/hsa:3552%09red/hsa:3558%09red/hsa:3576%09red/hsa:3575%09red/hsa:282616%09red/hsa:939%09red/hsa:3586%09red/hsa:959%09red/hsa:3440%09red/hsa:6351%09red/hsa:6352%09red/hsa:7040%09red/hsa:3439%09red
Chagas disease (American trypanosomiasis)	KEGG PATHWAY	hsa05142	24	103	2.04686336706e-40	1.24631236128e-38	CCL2|TGFB1|CCL5|SMAD3|MAPK14|AKT1|IL1B|FAS|IFNB1|MAPK3|MAPK1|NFKB1|MAPK8|MYD88|NOS2|IFNG|TNF|IL10|IL6|IL2|TLR4|CCL3|TLR9|IL8	http://www.genome.jp/kegg-bin/show_pathway?hsa05142/hsa:3569%09red/hsa:5595%09red/hsa:355%09red/hsa:3458%09red/hsa:7124%09red/hsa:7099%09red/hsa:3456%09red/hsa:6347%09red/hsa:4088%09red/hsa:6348%09red/hsa:54106%09red/hsa:3553%09red/hsa:5594%09red/hsa:4615%09red/hsa:3558%09red/hsa:3576%09red/hsa:5599%09red/hsa:4790%09red/hsa:207%09red/hsa:1432%09red/hsa:3586%09red/hsa:6352%09red/hsa:7040%09red/hsa:4843%09red
Toxoplasmosis	KEGG PATHWAY	hsa05145	22	113	1.50234232394e-35	8.6661430897e-34	BCL2L1|TGFB1|CD40LG|HSPA8|BIRC3|CYCS|MAPK14|AKT1|CCR5|STAT1|MAPK3|MAPK1|NFKB1|MAPK8|MYD88|NOS2|IFNG|CD40|TNF|IL10|TLR4|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa05145/hsa:1234%09red/hsa:598%09red/hsa:596%09red/hsa:330%09red/hsa:3458%09red/hsa:7124%09red/hsa:7099%09red/hsa:3312%09red/hsa:4615%09red/hsa:5595%09red/hsa:5594%09red/hsa:54205%09red/hsa:5599%09red/hsa:4790%09red/hsa:6772%09red/hsa:207%09red/hsa:1432%09red/hsa:3586%09red/hsa:959%09red/hsa:958%09red/hsa:7040%09red/hsa:4843%09red
IL-17 signaling pathway	KEGG PATHWAY	hsa04657	21	93	3.58254365151e-35	1.96323392103e-33	CCL2|PTGS2|TRAF3|IL17A|TBK1|MAPK1|IFNG|IL5|HSP90B1|MAPK14|MAPK3|IL4|TNF|IKBKE|NFKB1|CXCL10|IL1B|IL13|MAPK8|IL8|IL6	http://www.genome.jp/kegg-bin/show_pathway?hsa04657/hsa:29110%09red/hsa:3569%09red/hsa:3553%09red/hsa:3596%09red/hsa:3458%09red/hsa:5595%09red/hsa:7124%09red/hsa:5743%09red/hsa:3627%09red/hsa:3576%09red/hsa:5599%09red/hsa:3565%09red/hsa:6347%09red/hsa:9641%09red/hsa:5594%09red/hsa:4790%09red/hsa:1432%09red/hsa:3605%09red/hsa:3567%09red/hsa:7187%09red/hsa:7184%09red
Herpes simplex virus 1 infection	KEGG PATHWAY	hsa05168	30	492	2.45589790557e-34	1.28174481167e-32	BCL2L1|CCL2|CCL5|HLA-C|BIRC3|BAX|AKT1|IKBKE|IL1B|DDX58|STAT1|FAS|IFNB1|OAS1|NFKB1|MYD88|TRAF3|IFNG|TNF|CYCS|IRF7|IRF3|TLR9|TP53|TBK1|IFNA2|IFNA1|IL6|MAVS|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa05168/hsa:29110%09red/hsa:3569%09red/hsa:3665%09red/hsa:3661%09red/hsa:598%09red/hsa:596%09red/hsa:355%09red/hsa:23586%09red/hsa:330%09red/hsa:3458%09red/hsa:7124%09red/hsa:3456%09red/hsa:6347%09red/hsa:4938%09red/hsa:4615%09red/hsa:3107%09red/hsa:7187%09red/hsa:3439%09red/hsa:54106%09red/hsa:3553%09red/hsa:54205%09red/hsa:581%09red/hsa:4790%09red/hsa:57506%09red/hsa:207%09red/hsa:6772%09red/hsa:7157%09red/hsa:3440%09red/hsa:6352%09red/hsa:9641%09red
Human papillomavirus infection	KEGG PATHWAY	hsa05165	27	330	3.79145950645e-34	1.88883619049e-32	PTGS2|HLA-C|EGFR|BAX|MX1|AKT1|IKBKE|EGF|STAT1|FAS|RB1|IFNB1|MAPK3|MAPK1|ISG15|NFKB1|TRAF3|TNF|IRF3|IRF1|TP53|TBK1|E2F1|IFNA2|IFNA1|CDK2|CDK4	http://www.genome.jp/kegg-bin/show_pathway?hsa05165/hsa:29110%09red/hsa:3661%09red/hsa:1019%09red/hsa:355%09red/hsa:1017%09red/hsa:5925%09red/hsa:7124%09red/hsa:5743%09red/hsa:3456%09red/hsa:1950%09red/hsa:1956%09red/hsa:3107%09red/hsa:7187%09red/hsa:3439%09red/hsa:9636%09red/hsa:3659%09red/hsa:5595%09red/hsa:5594%09red/hsa:581%09red/hsa:4790%09red/hsa:207%09red/hsa:6772%09red/hsa:4599%09red/hsa:7157%09red/hsa:3440%09red/hsa:1869%09red/hsa:9641%09red
Interleukin-10 signaling	Reactome	R-HSA-6783783	18	47	8.03196157543e-34	3.82740429855e-32	CCL2|PTGS2|CCL4|CCL3|IL10|CD80|CCL5|CD86|IL6|IL18|TNF|CCR5|ICAM1|IL1A|CXCL10|IL1B|FCER2|IL8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6783783
Human T-cell leukemia virus 1 infection	KEGG PATHWAY	hsa05166	24	219	3.09593502128e-33	1.41381032638e-31	BCL2L1|TGFB1|HLA-C|IL2|BAX|SMAD3|CD4|AKT1|RB1|MAPK3|MAPK1|ICAM1|NFKB1|MYC|ITGB2|CD40|SLC25A4|TNF|MAPK8|TP53|E2F1|IL6|CDK2|CDK4	http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:3569%09red/hsa:598%09red/hsa:920%09red/hsa:1019%09red/hsa:1017%09red/hsa:5925%09red/hsa:7124%09red/hsa:3383%09red/hsa:4088%09red/hsa:3107%09red/hsa:5595%09red/hsa:5594%09red/hsa:3558%09red/hsa:581%09red/hsa:5599%09red/hsa:4790%09red/hsa:207%09red/hsa:3689%09red/hsa:7157%09red/hsa:958%09red/hsa:291%09red/hsa:7040%09red/hsa:4609%09red/hsa:1869%09red
Yersinia infection	KEGG PATHWAY	hsa05135	21	121	5.17885534886e-33	2.27041018494e-31	CCL2|IL6|RHOA|RPS6KA3|TBK1|AKT1|IL10|IL18|IFNB1|MAPK14|MAPK3|TNF|IL2|TLR4|NFKB1|IRF3|MAPK1|IL1B|MYD88|MAPK8|IL8	http://www.genome.jp/kegg-bin/show_pathway?hsa05135/hsa:29110%09red/hsa:3569%09red/hsa:3553%09red/hsa:5594%09red/hsa:3586%09red/hsa:3661%09red/hsa:3606%09red/hsa:7124%09red/hsa:6197%09red/hsa:3456%09red/hsa:5595%09red/hsa:3576%09red/hsa:5599%09red/hsa:6347%09red/hsa:3558%09red/hsa:4790%09red/hsa:4615%09red/hsa:7099%09red/hsa:1432%09red/hsa:207%09red/hsa:387%09red
Pertussis	KEGG PATHWAY	hsa05133	19	76	1.23832384746e-32	5.22001129543e-31	IRF3|IL6|NOS2|ITGB2|MAPK1|IL10|RHOA|IRF1|MAPK14|MAPK3|CD14|TNF|TLR4|NFKB1|IL1A|IL1B|MYD88|MAPK8|IL8	http://www.genome.jp/kegg-bin/show_pathway?hsa05133/hsa:3689%09red/hsa:3569%09red/hsa:3553%09red/hsa:3552%09red/hsa:3586%09red/hsa:3661%09red/hsa:7124%09red/hsa:7099%09red/hsa:5595%09red/hsa:3576%09red/hsa:5599%09red/hsa:1432%09red/hsa:5594%09red/hsa:4790%09red/hsa:4615%09red/hsa:3659%09red/hsa:4843%09red/hsa:929%09red/hsa:387%09red
AGE-RAGE signaling pathway in diabetic complications	KEGG PATHWAY	hsa04933	20	100	1.38012271662e-32	5.60227591637e-31	CCL2|TGFB1|STAT1|MAPK3|PRKCA|IL6|BAX|SMAD3|MAPK14|AKT1|TNF|CDK4|ICAM1|NFKB1|IL1A|IL1B|BCL2|MAPK8|IL8|MAPK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04933/hsa:3569%09red/hsa:3553%09red/hsa:3552%09red/hsa:6772%09red/hsa:3383%09red/hsa:7124%09red/hsa:596%09red/hsa:5594%09red/hsa:5595%09red/hsa:5599%09red/hsa:3576%09red/hsa:6347%09red/hsa:1019%09red/hsa:4790%09red/hsa:4088%09red/hsa:7040%09red/hsa:1432%09red/hsa:581%09red/hsa:207%09red/hsa:5578%09red
Human immunodeficiency virus 1 infection	KEGG PATHWAY	hsa05170	23	212	8.92613538127e-32	3.49394442067e-30	BCL2L1|HLA-C|BAX|MAPK14|AKT1|CCR5|TBK1|FAS|IFNB1|MAPK3|MAPK1|NFKB1|MAPK8|MYD88|PRKCA|TNF|CYCS|IRF3|CD4|IFNA2|IFNA1|TLR4|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa05170/hsa:29110%09red/hsa:3661%09red/hsa:598%09red/hsa:596%09red/hsa:920%09red/hsa:355%09red/hsa:5578%09red/hsa:1234%09red/hsa:7124%09red/hsa:7099%09red/hsa:3456%09red/hsa:4615%09red/hsa:3107%09red/hsa:3439%09red/hsa:5595%09red/hsa:5594%09red/hsa:54205%09red/hsa:581%09red/hsa:5599%09red/hsa:4790%09red/hsa:207%09red/hsa:1432%09red/hsa:3440%09red
